Review,Liked
amazing experience everything was perfect outstanding flavors absolutely loved it great food and service definitely worth visiting great food and service best restaurant in town outstanding flavors pleasant surprise best restaurant in town,1
staff was rude worst food ever would not recommend totally overpriced,0
food was cold never coming back staff was rude not tasty at all very disappointed bad quality food terrible experience horrible service poor service nothing special flavor was lacking not tasty at all waited too long waste of money,0
waste of money nothing special waste of money,0
terrible experience would not recommend feels unhygienic poor service worst food ever terrible experience never coming back nothing special very disappointed terrible experience totally overpriced flavor was lacking,0
delicious taste and friendly staff highly recommend this place awesome,1
horrible service completely underwhelming,0
best restaurant in town five stars fast service and good food five stars everything was perfect and awesome,1
worst food ever completely underwhelming staff was rude staff was rude completely underwhelming very disappointed completely underwhelming would not recommend terrible experience horrible service,0
worth the money five stars delicious taste and friendly staff five stars enjoyed every bite delicious taste and friendly staff,1
waste of money very disappointed poor service staff was rude,0
feels unhygienic would not recommend staff was rude feels unhygienic bad quality food waited too long very disappointed staff was rude flavor was lacking unpleasant visit completely underwhelming not tasty at all not tasty at all unpleasant visit nothing special worst food ever waste of money flavor was lacking totally overpriced,0
poor service poor service feels unhygienic food was cold completely underwhelming waited too long unpleasant visit did not enjoy food was cold bad quality food nothing special flavor was lacking poor service totally overpriced staff was rude feels unhygienic bad quality food nothing special terrible experience,0
flavor was lacking bad quality food staff was rude poor service did not enjoy never coming back nothing special poor service waited too long worst food ever completely underwhelming food was cold unpleasant visit,0
pleasant surprise happy with the quality outstanding flavors very satisfied outstanding flavors,1
absolutely loved it fast service and good food happy with the quality definitely worth visiting service was excellent amazing experience everything was perfect super tasty meals wonderful ambiance highly recommend this place best restaurant in town happy with the quality best restaurant in town happy with the quality worth the money happy with the quality worth the money fast service and good food,1
horrible service worst food ever waited too long very disappointed waited too long would not recommend totally overpriced feels unhygienic flavor was lacking not tasty at all never coming back completely underwhelming completely underwhelming,0
terrible experience waste of money waited too long worst food ever staff was rude flavor was lacking food was cold horrible service terrible experience,0
everything was perfect wonderful ambiance outstanding flavors fast service and good food fast service and good food five stars,1
staff was rude horrible service totally overpriced flavor was lacking bad quality food not tasty at all worst food ever would not recommend completely underwhelming bad quality food waste of money very disappointed staff was rude would not recommend worst food ever unpleasant visit never coming back poor service poor service,0
super tasty meals super tasty meals super tasty meals five stars,1
enjoyed every bite five stars wonderful ambiance absolutely loved it absolutely loved it super tasty meals highly recommend this place very satisfied best restaurant in town amazing experience five stars amazing experience enjoyed every bite absolutely loved it great food and service enjoyed every bite,1
super tasty meals highly recommend this place wonderful ambiance absolutely loved it,1
waited too long very disappointed food was cold flavor was lacking bad quality food flavor was lacking very disappointed,0
fast service and good food highly recommend this place enjoyed every bite happy with the quality enjoyed every bite outstanding flavors delicious taste and friendly staff five stars wonderful ambiance amazing experience definitely worth visiting will definitely come again,1
highly recommend this place fast service and good food happy with the quality enjoyed every bite highly recommend this place happy with the quality great food and service service was excellent definitely worth visiting everything was perfect wonderful ambiance definitely worth visiting will definitely come again delicious taste and friendly staff very satisfied,1
waited too long bad quality food poor service would not recommend waste of money never coming back worst food ever not tasty at all waste of money terrible experience waited too long feels unhygienic totally overpriced very disappointed worst food ever would not recommend completely underwhelming totally overpriced food was cold,0
pleasant surprise highly recommend this place pleasant surprise outstanding flavors enjoyed every bite service was excellent super tasty meals enjoyed every bite pleasant surprise five stars amazing experience happy with the quality,1
worst food ever not tasty at all did not enjoy,0
worth the money will definitely come again enjoyed every bite five stars wonderful ambiance absolutely loved it fast service and good food super tasty meals best restaurant in town best restaurant in town delicious taste and friendly staff everything was perfect enjoyed every bite outstanding flavors enjoyed every bite definitely worth visiting best restaurant in town great food and service best restaurant in town absolutely loved it,1
wonderful ambiance super tasty meals will definitely come again happy with the quality wonderful ambiance,1
definitely worth visiting highly recommend this place super tasty meals wonderful ambiance outstanding flavors definitely worth visiting,1
very disappointed worst food ever waited too long bad quality food would not recommend bad quality food did not enjoy not tasty at all flavor was lacking,0
great food and service worth the money everything was perfect wonderful ambiance very satisfied best restaurant in town will definitely come again very satisfied pleasant surprise worth the money very satisfied,1
nothing special very disappointed not tasty at all flavor was lacking completely underwhelming unpleasant visit food was cold terrible experience unpleasant visit poor service,0
everything was perfect definitely worth visiting happy with the quality pleasant surprise very satisfied service was excellent enjoyed every bite absolutely loved it enjoyed every bite five stars super tasty meals everything was perfect best restaurant in town outstanding flavors worth the money fast service and good food highly recommend this place absolutely loved it delicious taste and friendly staff,1
outstanding flavors everything was perfect pleasant surprise enjoyed every bite five stars service was excellent happy with the quality amazing experience will definitely come again outstanding flavors wonderful ambiance enjoyed every bite happy with the quality amazing experience absolutely loved it highly recommend this place service was excellent enjoyed every bite,1
highly recommend this place very satisfied happy with the quality highly recommend this place great food and service service was excellent highly recommend this place enjoyed every bite five stars super tasty meals,1
food was cold terrible experience totally overpriced unpleasant visit feels unhygienic nothing special never coming back unpleasant visit terrible experience very disappointed nothing special bad quality food never coming back horrible service never coming back,0
totally overpriced never coming back terrible experience not tasty at all waited too long not tasty at all never coming back horrible service very disappointed did not enjoy completely underwhelming,0
five stars will definitely come again everything was perfect worth the money everything was perfect best restaurant in town enjoyed every bite worth the money amazing experience fast service and good food definitely worth visiting best restaurant in town amazing experience everything was perfect five stars happy with the quality will definitely come again very satisfied,1
feels unhygienic very disappointed horrible service waste of money bad quality food food was cold waste of money terrible experience completely underwhelming totally overpriced would not recommend unpleasant visit food was cold never coming back flavor was lacking horrible service never coming back,0
not tasty at all food was cold terrible experience did not enjoy horrible service not tasty at all,0
happy with the quality everything was perfect amazing experience fast service and good food definitely worth visiting very satisfied fast service and good food,1
service was excellent five stars wonderful ambiance everything was perfect enjoyed every bite worth the money will definitely come again great food and service very satisfied great food and service very satisfied super tasty meals worth the money five stars very satisfied,1
nothing special feels unhygienic poor service horrible service did not enjoy bad quality food did not enjoy,0
flavor was lacking waited too long food was cold never coming back,0
totally overpriced food was cold would not recommend staff was rude feels unhygienic nothing special poor service never coming back worst food ever very disappointed flavor was lacking not tasty at all staff was rude horrible service unpleasant visit nothing special feels unhygienic worst food ever horrible service,0
will definitely come again amazing experience happy with the quality will definitely come again amazing experience,1
will definitely come again happy with the quality pleasant surprise highly recommend this place amazing experience great food and service amazing experience outstanding flavors highly recommend this place,1
totally overpriced terrible experience nothing special completely underwhelming worst food ever unpleasant visit bad quality food poor service staff was rude unpleasant visit never coming back feels unhygienic waited too long completely underwhelming,0
worth the money pleasant surprise very satisfied very satisfied great food and service great food and service pleasant surprise very satisfied best restaurant in town,1
very satisfied best restaurant in town pleasant surprise everything was perfect outstanding flavors happy with the quality five stars pleasant surprise absolutely loved it absolutely loved it amazing experience highly recommend this place amazing experience enjoyed every bite highly recommend this place five stars,1
waited too long flavor was lacking food was cold totally overpriced horrible service terrible experience nothing special food was cold never coming back waste of money not tasty at all food was cold poor service would not recommend totally overpriced feels unhygienic very disappointed completely underwhelming would not recommend,0
would not recommend very disappointed would not recommend feels unhygienic did not enjoy not tasty at all poor service worst food ever did not enjoy nothing special not tasty at all terrible experience bad quality food horrible service did not enjoy terrible experience waited too long,0
unpleasant visit unpleasant visit horrible service worst food ever completely underwhelming completely underwhelming very disappointed poor service food was cold flavor was lacking,0
very disappointed horrible service,0
